coupleid,personid,time,time7c,gender,female,male,reldis,wrkstrs,wrkstrsc,wrkstrscb,wrkstrscw
1,1,0,-1.5,1,1,0,3.03,3,.00952380000000019,-.323809533333333,.333333333333333
1,1,1,-1.35714285714286,1,1,0,4.62,3,.00952380000000019,-.323809533333333,.333333333333333
1,1,2,-1.21428571428571,1,1,0,2.85,3,.00952380000000019,-.323809533333333,.333333333333333
1,1,3,-1.07142857142857,1,1,0,6.4,4,1.0095238,-.323809533333333,1.33333333333333
1,1,4,-.928571428571429,1,1,0,2.54,1,-1.9904762,-.323809533333333,-1.66666666666667
1,1,5,-.785714285714286,1,1,0,5.16,2,-.9904762,-.323809533333333,-.666666666666667
1,1,6,-.642857142857143,1,1,0,2.7,3,.00952380000000019,-.323809533333333,.333333333333333
1,1,7,-.5,1,1,0,5,4,1.0095238,-.323809533333333,1.33333333333333
1,1,8,-.357142857142857,1,1,0,4.1,3,.00952380000000019,-.323809533333333,.333333333333333
1,1,9,-.214285714285714,1,1,0,5.47,2,-.9904762,-.323809533333333,-.666666666666667
1,1,10,-.0714285714285714,1,1,0,5.7,2,-.9904762,-.323809533333333,-.666666666666667
1,1,11,.0714285714285714,1,1,0,5.89,1,-1.9904762,-.323809533333333,-1.66666666666667
1,1,12,.214285714285714,1,1,0,4.9,3,.00952380000000019,-.323809533333333,.333333333333333
1,1,13,.357142857142857,1,1,0,4.86,4,1.0095238,-.323809533333333,1.33333333333333
1,1,14,.5,1,1,0,3.99,0,-2.9904762,-.323809533333333,-2.66666666666667
1,1,15,.642857142857143,1,1,0,3.24,1,-1.9904762,-.323809533333333,-1.66666666666667
1,1,16,.785714285714286,1,1,0,4.21,1,-1.9904762,-.323809533333333,-1.66666666666667
1,1,17,.928571428571429,1,1,0,4.4,3,.00952380000000019,-.323809533333333,.333333333333333
1,1,18,1.07142857142857,1,1,0,4.72,4,1.0095238,-.323809533333333,1.33333333333333
1,1,19,1.21428571428571,1,1,0,4.75,4,1.0095238,-.323809533333333,1.33333333333333
1,1,20,1.35714285714286,1,1,0,5.46,5,2.0095238,-.323809533333333,2.33333333333333
1,2,0,-1.5,0,0,1,4.46,3,.00952380000000019,-.133333342857143,.142857142857143
1,2,1,-1.35714285714286,0,0,1,4.88,3,.00952380000000019,-.133333342857143,.142857142857143
1,2,2,-1.21428571428571,0,0,1,4.58,3,.00952380000000019,-.133333342857143,.142857142857143
1,2,3,-1.07142857142857,0,0,1,4.49,1,-1.9904762,-.133333342857143,-1.85714285714286
1,2,4,-.928571428571429,0,0,1,5.04,3,.00952380000000019,-.133333342857143,.142857142857143
1,2,5,-.785714285714286,0,0,1,4.87,3,.00952380000000019,-.133333342857143,.142857142857143
1,2,6,-.642857142857143,0,0,1,5.63,2,-.9904762,-.133333342857143,-.857142857142857
1,2,7,-.5,0,0,1,2.97,4,1.0095238,-.133333342857143,1.14285714285714
1,2,8,-.357142857142857,0,0,1,4.08,3,.00952380000000019,-.133333342857143,.142857142857143
1,2,9,-.214285714285714,0,0,1,5.36,5,2.0095238,-.133333342857143,2.14285714285714
1,2,10,-.0714285714285714,0,0,1,4.36,2,-.9904762,-.133333342857143,-.857142857142857
1,2,11,.0714285714285714,0,0,1,4.91,3,.00952380000000019,-.133333342857143,.142857142857143
1,2,12,.214285714285714,0,0,1,4.91,3,.00952380000000019,-.133333342857143,.142857142857143
1,2,13,.357142857142857,0,0,1,3.72,4,1.0095238,-.133333342857143,1.14285714285714
1,2,14,.5,0,0,1,5.54,2,-.9904762,-.133333342857143,-.857142857142857
1,2,15,.642857142857143,0,0,1,2.98,3,.00952380000000019,-.133333342857143,.142857142857143
1,2,16,.785714285714286,0,0,1,4.56,2,-.9904762,-.133333342857143,-.857142857142857
1,2,17,.928571428571429,0,0,1,3.94,3,.00952380000000019,-.133333342857143,.142857142857143
1,2,18,1.07142857142857,0,0,1,3.09,3,.00952380000000019,-.133333342857143,.142857142857143
1,2,19,1.21428571428571,0,0,1,5.71,3,.00952380000000019,-.133333342857143,.142857142857143
1,2,20,1.35714285714286,0,0,1,5.85,2,-.9904762,-.133333342857143,-.857142857142857
2,3,0,-1.5,1,1,0,4.57,5,2.0095238,.295238085714286,1.71428571428571
2,3,1,-1.35714285714286,1,1,0,3.72,3,.00952380000000019,.295238085714286,-.285714285714286
2,3,2,-1.21428571428571,1,1,0,3.41,4,1.0095238,.295238085714286,.714285714285714
2,3,3,-1.07142857142857,1,1,0,4.21,4,1.0095238,.295238085714286,.714285714285714
2,3,4,-.928571428571429,1,1,0,5.43,4,1.0095238,.295238085714286,.714285714285714
2,3,5,-.785714285714286,1,1,0,3.31,4,1.0095238,.295238085714286,.714285714285714
2,3,6,-.642857142857143,1,1,0,4.74,3,.00952380000000019,.295238085714286,-.285714285714286
2,3,7,-.5,1,1,0,5.5,3,.00952380000000019,.295238085714286,-.285714285714286
2,3,8,-.357142857142857,1,1,0,4.53,4,1.0095238,.295238085714286,.714285714285714
2,3,9,-.214285714285714,1,1,0,4.49,3,.00952380000000019,.295238085714286,-.285714285714286
2,3,10,-.0714285714285714,1,1,0,3.33,2,-.9904762,.295238085714286,-1.28571428571429
2,3,11,.0714285714285714,1,1,0,3.86,3,.00952380000000019,.295238085714286,-.285714285714286
2,3,12,.214285714285714,1,1,0,3.26,3,.00952380000000019,.295238085714286,-.285714285714286
2,3,13,.357142857142857,1,1,0,4.73,2,-.9904762,.295238085714286,-1.28571428571429
2,3,14,.5,1,1,0,5.26,3,.00952380000000019,.295238085714286,-.285714285714286
2,3,15,.642857142857143,1,1,0,4.33,2,-.9904762,.295238085714286,-1.28571428571429
2,3,16,.785714285714286,1,1,0,3.56,4,1.0095238,.295238085714286,.714285714285714
2,3,17,.928571428571429,1,1,0,5.62,4,1.0095238,.295238085714286,.714285714285714
2,3,18,1.07142857142857,1,1,0,4.34,4,1.0095238,.295238085714286,.714285714285714
2,3,19,1.21428571428571,1,1,0,4.64,2,-.9904762,.295238085714286,-1.28571428571429
2,3,20,1.35714285714286,1,1,0,3.85,3,.00952380000000019,.295238085714286,-.285714285714286
2,4,0,-1.5,0,0,1,8.98,1,-1.9904762,-.323809533333333,-1.66666666666667
2,4,1,-1.35714285714286,0,0,1,7.47,3,.00952380000000019,-.323809533333333,.333333333333333
2,4,2,-1.21428571428571,0,0,1,7.42,2,-.9904762,-.323809533333333,-.666666666666667
2,4,3,-1.07142857142857,0,0,1,7.39,4,1.0095238,-.323809533333333,1.33333333333333
2,4,4,-.928571428571429,0,0,1,7.96,3,.00952380000000019,-.323809533333333,.333333333333333
2,4,5,-.785714285714286,0,0,1,9.4,1,-1.9904762,-.323809533333333,-1.66666666666667
2,4,6,-.642857142857143,0,0,1,8.47,3,.00952380000000019,-.323809533333333,.333333333333333
2,4,7,-.5,0,0,1,8.09,2,-.9904762,-.323809533333333,-.666666666666667
2,4,8,-.357142857142857,0,0,1,7.39,0,-2.9904762,-.323809533333333,-2.66666666666667
2,4,9,-.214285714285714,0,0,1,6.76,4,1.0095238,-.323809533333333,1.33333333333333
2,4,10,-.0714285714285714,0,0,1,7.38,1,-1.9904762,-.323809533333333,-1.66666666666667
2,4,11,.0714285714285714,0,0,1,7.89,2,-.9904762,-.323809533333333,-.666666666666667
2,4,12,.214285714285714,0,0,1,8.8,3,.00952380000000019,-.323809533333333,.333333333333333
2,4,13,.357142857142857,0,0,1,8.77,2,-.9904762,-.323809533333333,-.666666666666667
2,4,14,.5,0,0,1,7.81,4,1.0095238,-.323809533333333,1.33333333333333
2,4,15,.642857142857143,0,0,1,7.1,3,.00952380000000019,-.323809533333333,.333333333333333
2,4,16,.785714285714286,0,0,1,8.23,4,1.0095238,-.323809533333333,1.33333333333333
2,4,17,.928571428571429,0,0,1,7.49,4,1.0095238,-.323809533333333,1.33333333333333
2,4,18,1.07142857142857,0,0,1,5.7,3,.00952380000000019,-.323809533333333,.333333333333333
2,4,19,1.21428571428571,0,0,1,7.6,3,.00952380000000019,-.323809533333333,.333333333333333
2,4,20,1.35714285714286,0,0,1,8.92,4,1.0095238,-.323809533333333,1.33333333333333
3,5,0,-1.5,1,1,0,3.08,3,.00952380000000019,-.371428580952381,.380952380952381
3,5,1,-1.35714285714286,1,1,0,3.96,3,.00952380000000019,-.371428580952381,.380952380952381
3,5,2,-1.21428571428571,1,1,0,3.95,1,-1.9904762,-.371428580952381,-1.61904761904762
3,5,3,-1.07142857142857,1,1,0,3.12,4,1.0095238,-.371428580952381,1.38095238095238
3,5,4,-.928571428571429,1,1,0,4.37,2,-.9904762,-.371428580952381,-.619047619047619
3,5,5,-.785714285714286,1,1,0,3.44,2,-.9904762,-.371428580952381,-.619047619047619
3,5,6,-.642857142857143,1,1,0,5.75,4,1.0095238,-.371428580952381,1.38095238095238
3,5,7,-.5,1,1,0,4.58,4,1.0095238,-.371428580952381,1.38095238095238
3,5,8,-.357142857142857,1,1,0,3.27,2,-.9904762,-.371428580952381,-.619047619047619
3,5,9,-.214285714285714,1,1,0,6.75,4,1.0095238,-.371428580952381,1.38095238095238
3,5,10,-.0714285714285714,1,1,0,3.57,3,.00952380000000019,-.371428580952381,.380952380952381
3,5,11,.0714285714285714,1,1,0,3.33,2,-.9904762,-.371428580952381,-.619047619047619
3,5,12,.214285714285714,1,1,0,5.05,1,-1.9904762,-.371428580952381,-1.61904761904762
3,5,13,.357142857142857,1,1,0,5.11,3,.00952380000000019,-.371428580952381,.380952380952381
3,5,14,.5,1,1,0,2.7,2,-.9904762,-.371428580952381,-.619047619047619
3,5,15,.642857142857143,1,1,0,3.49,1,-1.9904762,-.371428580952381,-1.61904761904762
3,5,16,.785714285714286,1,1,0,5.04,3,.00952380000000019,-.371428580952381,.380952380952381
3,5,17,.928571428571429,1,1,0,5.57,3,.00952380000000019,-.371428580952381,.380952380952381
3,5,18,1.07142857142857,1,1,0,3.53,3,.00952380000000019,-.371428580952381,.380952380952381
3,5,19,1.21428571428571,1,1,0,4.34,2,-.9904762,-.371428580952381,-.619047619047619
3,5,20,1.35714285714286,1,1,0,4.02,3,.00952380000000019,-.371428580952381,.380952380952381
3,6,0,-1.5,0,0,1,4.52,2,-.9904762,.438095228571429,-1.42857142857143
3,6,1,-1.35714285714286,0,0,1,5.75,4,1.0095238,.438095228571429,.571428571428571
3,6,2,-1.21428571428571,0,0,1,5.27,3,.00952380000000019,.438095228571429,-.428571428571429
3,6,3,-1.07142857142857,0,0,1,5.81,4,1.0095238,.438095228571429,.571428571428571
3,6,4,-.928571428571429,0,0,1,6.22,3,.00952380000000019,.438095228571429,-.428571428571429
3,6,5,-.785714285714286,0,0,1,5.66,2,-.9904762,.438095228571429,-1.42857142857143
3,6,6,-.642857142857143,0,0,1,8.1,3,.00952380000000019,.438095228571429,-.428571428571429
3,6,7,-.5,0,0,1,6.15,4,1.0095238,.438095228571429,.571428571428571
3,6,8,-.357142857142857,0,0,1,6.02,4,1.0095238,.438095228571429,.571428571428571
3,6,9,-.214285714285714,0,0,1,6.18,3,.00952380000000019,.438095228571429,-.428571428571429
3,6,10,-.0714285714285714,0,0,1,6.72,4,1.0095238,.438095228571429,.571428571428571
3,6,11,.0714285714285714,0,0,1,7.4,2,-.9904762,.438095228571429,-1.42857142857143
3,6,12,.214285714285714,0,0,1,5.86,5,2.0095238,.438095228571429,1.57142857142857
3,6,13,.357142857142857,0,0,1,6.84,3,.00952380000000019,.438095228571429,-.428571428571429
3,6,14,.5,0,0,1,6.38,2,-.9904762,.438095228571429,-1.42857142857143
3,6,15,.642857142857143,0,0,1,6.41,5,2.0095238,.438095228571429,1.57142857142857
3,6,16,.785714285714286,0,0,1,6.17,3,.00952380000000019,.438095228571429,-.428571428571429
3,6,17,.928571428571429,0,0,1,5.67,5,2.0095238,.438095228571429,1.57142857142857
3,6,18,1.07142857142857,0,0,1,6.21,3,.00952380000000019,.438095228571429,-.428571428571429
3,6,19,1.21428571428571,0,0,1,6.33,5,2.0095238,.438095228571429,1.57142857142857
3,6,20,1.35714285714286,0,0,1,6.26,3,.00952380000000019,.438095228571429,-.428571428571429
4,7,0,-1.5,1,1,0,4.7,3,.00952380000000019,-.371428580952381,.380952380952381
4,7,1,-1.35714285714286,1,1,0,3.85,1,-1.9904762,-.371428580952381,-1.61904761904762
4,7,2,-1.21428571428571,1,1,0,5.93,3,.00952380000000019,-.371428580952381,.380952380952381
4,7,3,-1.07142857142857,1,1,0,3.74,1,-1.9904762,-.371428580952381,-1.61904761904762
4,7,4,-.928571428571429,1,1,0,2.77,2,-.9904762,-.371428580952381,-.619047619047619
4,7,5,-.785714285714286,1,1,0,5.46,3,.00952380000000019,-.371428580952381,.380952380952381
4,7,6,-.642857142857143,1,1,0,4.39,2,-.9904762,-.371428580952381,-.619047619047619
4,7,7,-.5,1,1,0,6.62,5,2.0095238,-.371428580952381,2.38095238095238
4,7,8,-.357142857142857,1,1,0,5,3,.00952380000000019,-.371428580952381,.380952380952381
4,7,9,-.214285714285714,1,1,0,4.01,2,-.9904762,-.371428580952381,-.619047619047619
4,7,10,-.0714285714285714,1,1,0,4.93,4,1.0095238,-.371428580952381,1.38095238095238
4,7,11,.0714285714285714,1,1,0,6.44,2,-.9904762,-.371428580952381,-.619047619047619
4,7,12,.214285714285714,1,1,0,4.71,3,.00952380000000019,-.371428580952381,.380952380952381
4,7,13,.357142857142857,1,1,0,5.34,4,1.0095238,-.371428580952381,1.38095238095238
4,7,14,.5,1,1,0,5.3,2,-.9904762,-.371428580952381,-.619047619047619
4,7,15,.642857142857143,1,1,0,6.02,4,1.0095238,-.371428580952381,1.38095238095238
4,7,16,.785714285714286,1,1,0,2.51,1,-1.9904762,-.371428580952381,-1.61904761904762
4,7,17,.928571428571429,1,1,0,7.41,3,.00952380000000019,-.371428580952381,.380952380952381
4,7,18,1.07142857142857,1,1,0,3.24,2,-.9904762,-.371428580952381,-.619047619047619
4,7,19,1.21428571428571,1,1,0,5.41,3,.00952380000000019,-.371428580952381,.380952380952381
4,7,20,1.35714285714286,1,1,0,5.52,2,-.9904762,-.371428580952381,-.619047619047619
4,8,0,-1.5,0,0,1,5.99,4,1.0095238,-.0380952476190474,1.04761904761905
4,8,1,-1.35714285714286,0,0,1,3.83,3,.00952380000000019,-.0380952476190474,.0476190476190476
4,8,2,-1.21428571428571,0,0,1,4.62,3,.00952380000000019,-.0380952476190474,.0476190476190476
4,8,3,-1.07142857142857,0,0,1,4.73,3,.00952380000000019,-.0380952476190474,.0476190476190476
4,8,4,-.928571428571429,0,0,1,4.3,5,2.0095238,-.0380952476190474,2.04761904761905
4,8,5,-.785714285714286,0,0,1,4.66,3,.00952380000000019,-.0380952476190474,.0476190476190476
4,8,6,-.642857142857143,0,0,1,4.85,2,-.9904762,-.0380952476190474,-.952380952380952
4,8,7,-.5,0,0,1,4.37,2,-.9904762,-.0380952476190474,-.952380952380952
4,8,8,-.357142857142857,0,0,1,4.49,2,-.9904762,-.0380952476190474,-.952380952380952
4,8,9,-.214285714285714,0,0,1,5.9,2,-.9904762,-.0380952476190474,-.952380952380952
4,8,10,-.0714285714285714,0,0,1,5.58,4,1.0095238,-.0380952476190474,1.04761904761905
4,8,11,.0714285714285714,0,0,1,3.24,3,.00952380000000019,-.0380952476190474,.0476190476190476
4,8,12,.214285714285714,0,0,1,5.14,4,1.0095238,-.0380952476190474,1.04761904761905
4,8,13,.357142857142857,0,0,1,5.51,3,.00952380000000019,-.0380952476190474,.0476190476190476
4,8,14,.5,0,0,1,4.81,4,1.0095238,-.0380952476190474,1.04761904761905
4,8,15,.642857142857143,0,0,1,4.87,2,-.9904762,-.0380952476190474,-.952380952380952
4,8,16,.785714285714286,0,0,1,3.48,3,.00952380000000019,-.0380952476190474,.0476190476190476
4,8,17,.928571428571429,0,0,1,4.51,2,-.9904762,-.0380952476190474,-.952380952380952
4,8,18,1.07142857142857,0,0,1,5.53,2,-.9904762,-.0380952476190474,-.952380952380952
4,8,19,1.21428571428571,0,0,1,4.77,1,-1.9904762,-.0380952476190474,-1.95238095238095
4,8,20,1.35714285714286,0,0,1,4.57,5,2.0095238,-.0380952476190474,2.04761904761905
5,9,0,-1.5,1,1,0,5.25,4,1.0095238,-.0380952476190474,1.04761904761905
5,9,1,-1.35714285714286,1,1,0,5.58,3,.00952380000000019,-.0380952476190474,.0476190476190476
5,9,2,-1.21428571428571,1,1,0,5.96,3,.00952380000000019,-.0380952476190474,.0476190476190476
5,9,3,-1.07142857142857,1,1,0,6.38,3,.00952380000000019,-.0380952476190474,.0476190476190476
5,9,4,-.928571428571429,1,1,0,6.33,2,-.9904762,-.0380952476190474,-.952380952380952
5,9,5,-.785714285714286,1,1,0,4.54,1,-1.9904762,-.0380952476190474,-1.95238095238095
5,9,6,-.642857142857143,1,1,0,5,1,-1.9904762,-.0380952476190474,-1.95238095238095
5,9,7,-.5,1,1,0,6.54,3,.00952380000000019,-.0380952476190474,.0476190476190476
5,9,8,-.357142857142857,1,1,0,4,5,2.0095238,-.0380952476190474,2.04761904761905
5,9,9,-.214285714285714,1,1,0,4.7,4,1.0095238,-.0380952476190474,1.04761904761905
5,9,10,-.0714285714285714,1,1,0,6.57,3,.00952380000000019,-.0380952476190474,.0476190476190476
5,9,11,.0714285714285714,1,1,0,6.21,3,.00952380000000019,-.0380952476190474,.0476190476190476
5,9,12,.214285714285714,1,1,0,5.07,3,.00952380000000019,-.0380952476190474,.0476190476190476
5,9,13,.357142857142857,1,1,0,6.25,3,.00952380000000019,-.0380952476190474,.0476190476190476
5,9,14,.5,1,1,0,5.62,4,1.0095238,-.0380952476190474,1.04761904761905
5,9,15,.642857142857143,1,1,0,4.92,3,.00952380000000019,-.0380952476190474,.0476190476190476
5,9,16,.785714285714286,1,1,0,4.08,3,.00952380000000019,-.0380952476190474,.0476190476190476
5,9,17,.928571428571429,1,1,0,5.8,3,.00952380000000019,-.0380952476190474,.0476190476190476
5,9,18,1.07142857142857,1,1,0,5,3,.00952380000000019,-.0380952476190474,.0476190476190476
5,9,19,1.21428571428571,1,1,0,7.04,3,.00952380000000019,-.0380952476190474,.0476190476190476
5,9,20,1.35714285714286,1,1,0,5.43,2,-.9904762,-.0380952476190474,-.952380952380952
5,10,0,-1.5,0,0,1,5.87,2,-.9904762,.0571428476190478,-1.04761904761905
5,10,1,-1.35714285714286,0,0,1,5.08,3,.00952380000000019,.0571428476190478,-.0476190476190476
5,10,2,-1.21428571428571,0,0,1,5.75,3,.00952380000000019,.0571428476190478,-.0476190476190476
5,10,3,-1.07142857142857,0,0,1,4.63,3,.00952380000000019,.0571428476190478,-.0476190476190476
5,10,4,-.928571428571429,0,0,1,6.11,3,.00952380000000019,.0571428476190478,-.0476190476190476
